DIJ,FFR,LEW,MID1,MID2,MID3,MID4,MOR.SN,corMean,Gene,Gene1,Gene2
0.771428571428571,0.684326896082365,0.683516483516484,0.321212121212121,0.518181818181818,0.336263736263736,0.342857142857143,0.589565217391304,0.530918998366693,A2M:LMO2,LMO2,A2M
0.664285714285714,0.811764705882353,0.30989010989011,0.115151515151515,0.51025189328759,0.652747252747253,0.203571428571429,0.226086956521739,0.436718697042213,ADSS:ACAT2,ACAT2,ADSS
0.310714285714286,0.726470588235294,0.832967032967033,0.83030303030303,0.854545454545455,0.837362637362637,0.925,0.640869565217391,0.744779074293141,ADSS:ENOPH1,ENOPH1,ADSS
0.642857142857143,0.514705882352941,0.665934065934066,0.182371663104019,0.463636363636364,0.734873932036531,0.775,0.507826086956522,0.560900642109698,ALDOA:PSMC3,PSMC3,ALDOA
0.392857142857143,0.573529411764706,0.81978021978022,0.6,0.9,0.573626373626374,0.592857142857143,0.665217391304348,0.639733460273742,ANXA7:ENOPH1,ENOPH1,ANXA7
0.453571428571428,0.841176470588235,0.736263736263736,0.672727272727273,0.518181818181818,0.353846153846154,0.632142857142857,0.189565217391304,0.549684369339101,ANXA7:PDCD6IP,PDCD6IP,ANXA7
0.353571428571428,0.632352941176471,0.274725274725275,0.284848484848485,0.609090909090909,0.727472527472527,0.678571428571428,0.523478260869565,0.510513906915761,ARL1:TMEM14B,TMEM14B,ARL1
0.521428571428571,0.561764705882353,0.841758241758242,0.672727272727273,0.681818181818182,0.762637362637363,0.334227121842634,0.656521739130435,0.629110399653132,ATP6V1G2:RTN4,RTN4,ATP6V1G2
0.248436202866985,0.45132939728326,0.595604395604396,0.890909090909091,0.881818181818182,0.582417582417582,0.471428571428571,0.387475547320301,0.563677371206046,ATXN2L:CRYAA,CRYAA,ATXN2L
0.784516366572054,0.460972017673049,0.362637362637363,0.490909090909091,0.418181818181818,0.52967032967033,0.485714285714286,0.62,0.519075158919749,CASP2:AGPAT2,AGPAT2,CASP2
0.536193243597808,0.402061855670103,0.687912087912088,0.757575757575757,0.509090909090909,0.41978021978022,0.23235040555905,0.134782608695652,0.459968385985198,CASP2:CDKN2A,CDKN2A,CASP2
0.684540040993202,0.631346749288892,0.314285714285714,0.236363636363636,0.336363636363636,0.617582417582418,0.189285714285714,0.133913043478261,0.392960119080184,CASP2:TK1,TK1,CASP2
0.153571428571429,0.397058823529412,0.318681318681319,0.406060606060606,0.718181818181818,0.415384615384615,0.671428571428571,0.710434782608696,0.473850245555808,CBX1:ABCD3,ABCD3,CBX1
0.375,0.229411764705882,0.261538461538461,0.660606060606061,0.427272727272727,0.608791208791209,0.835714285714286,0.209175912750915,0.450938802672443,CCT6A:AP1G1,AP1G1,CCT6A
0.389285714285714,0.385294117647059,0.67032967032967,0.36969696969697,0.145454545454545,0.621978021978022,0.639285714285714,0.102608695652174,0.415491681166233,CCT6A:PDCD6IP,PDCD6IP,CCT6A
0.867857142857143,0.129411764705882,0.564835164835165,0.345454545454545,0.754545454545455,0.665934065934066,0.956211284416091,0.370434782608696,0.58183552566963,CCT6A:UBE4A,UBE4A,CCT6A
0.514285714285714,0.307579185550998,0.516483516483516,0.515151515151515,0.318181818181818,0.6,0.821428571428571,0.523478260869565,0.514573572743962,CDA:DYRK1B,DYRK1B,CDA
0.403571428571428,0.476470588235294,0.353846153846154,0.866666666666667,0.328019074256308,0.635164835164835,0.807142857142857,0.17304347826087,0.505490635268052,CDA:TUT1,TUT1,CDA
0.435714285714286,0.520588235294118,0.186813186813187,0.854545454545454,0.372727272727273,0.815384615384615,0.796428571428571,0.373913043478261,0.544514333173221,CDA:UBTD1,UBTD1,CDA
0.180679785330948,0.267647058823529,0.643956043956044,0.478787878787879,0.818181818181818,0.771428571428571,0.664285714285714,0.453913043478261,0.534859989284096,CDK6:CRYAA,CRYAA,CDK6
0.710714285714286,0.441176470588235,0.841758241758242,0.466666666666667,0.554545454545455,0.740659340659341,0.725,0.177391304347826,0.582238970535007,CERK:ADSL,ADSL,CERK
0.421428571428571,0.638235294117647,0.608791208791209,0.406060606060606,0.654545454545455,0.441758241758242,0.492857142857143,0.54,0.525459564944859,CERK:BPGM,BPGM,CERK
0.892857142857143,0.708823529411765,0.217582417582418,0.163636363636364,0.418181818181818,0.789010989010989,0.414285714285714,0.698260869565217,0.537829855566428,CERK:DNM1L,DNM1L,CERK
0.885714285714286,0.105882352941176,0.520879120879121,0.151515151515151,0.836363636363636,0.810989010989011,0.671428571428571,0.353043478260869,0.541976951011478,CERK:GNAZ,GNAZ,CERK
0.175156459575284,0.382352941176471,0.367032967032967,0.442424242424242,0.763636363636364,0.591208791208791,0.746428571428571,0.601739130434782,0.508747433364684,CERK:HTATSF1,HTATSF1,CERK
0.660714285714286,0.232352941176471,0.872527472527473,0.127272727272727,0.618181818181818,0.810989010989011,0.402144932698356,0.521739130434782,0.530740289874366,CERK:KARS,KARS,CERK
0.714285714285714,0.444117647058824,0.213186813186813,0.357575757575757,0.454545454545455,0.802197802197802,0.871428571428571,0.290434782608696,0.518471567860954,CERK:LZTFL1,LZTFL1,CERK
0.167857142857143,0.488235294117647,0.265934065934066,0.478787878787879,0.718181818181818,0.432967032967033,0.707142857142857,0.40695652173913,0.458257826465947,CERK:PCNA,PCNA,CERK
0.457142857142857,0.705882352941176,0.323076923076923,0.612121212121212,0.172727272727273,0.635164835164835,0.757142857142857,0.190434782608696,0.481711636615729,CERK:RNF111,RNF111,CERK
