DIJ,FFR,MID1,MID2,MID3,MID4,MOR.SN,corMean,Gene,Gene1,Gene2
0.652368446377333,0.513613089747839,0.890909090909091,0.445454545454545,0.564835164835165,0.532618621973823,0.536638412338105,0.590919624519414,ADRA2C:DYRK1B,DYRK1B,ADRA2C
0.729222811293019,0.547058823529412,0.903030303030303,0.581818181818182,0.516483516483516,0.554066351717735,0.417482071186857,0.607023151294146,ADRA2C:EPN1,EPN1,ADRA2C
0.688114662617187,0.688235294117647,0.806060606060606,0.545454545454545,0.621978021978022,0.480786608426035,0.307023273185334,0.591093287405625,ADRA2C:TNFRSF10D,TNFRSF10D,ADRA2C
0.310714285714286,0.426470588235294,0.36969696969697,0.790909090909091,0.604395604395604,0.628571428571428,0.807826086956522,0.562654864925599,AHSA1:BANP,BANP,AHSA1
0.310714285714286,0.511764705882353,0.733333333333333,0.418181818181818,0.564835164835165,0.610714285714286,0.460969786935488,0.515787625799533,AKT2:IRF5,IRF5,AKT2
0.807142857142857,0.770588235294118,0.842424242424242,0.8,0.674725274725275,0.367857142857143,0.479669504707399,0.677486751021576,AKT2:TNFRSF10D,TNFRSF10D,AKT2
0.725,0.703458615757786,0.672727272727273,0.427272727272727,0.432967032967033,0.425,0.473913043478261,0.551476956029011,ATP6V0A1:TOLLIP,TOLLIP,ATP6V0A1
0.310714285714286,0.462104613698629,0.551515151515151,0.624147405182141,0.78021978021978,0.7,0.362608695652174,0.54161570456888,ATP6V1B1:MEGF6,MEGF6,ATP6V1B1
0.392857142857143,0.516556431236366,0.636363636363636,0.861050069922808,0.806593406593407,0.771428571428571,0.499130434782609,0.640568527597791,ATP6V1B1:UBTD1,UBTD1,ATP6V1B1
0.914285714285714,0.502941176470588,0.721212121212121,0.890909090909091,0.679120879120879,0.635714285714286,0.607088511850887,0.707324539937652,ATP6V1E1:PPIA,PPIA,ATP6V1E1
0.620196851761465,0.532352941176471,0.733333333333333,0.727272727272727,0.534065934065934,0.553571428571428,0.65275061338695,0.621934832795473,ATP6V1E1:PPP2CA,PPP2CA,ATP6V1E1
0.839285714285714,0.625460066311839,0.333333333333333,0.627272727272727,0.767032967032967,0.742857142857143,0.383126775745438,0.61690981811988,ATP6V1E1:PSMC6,PSMC6,ATP6V1E1
0.721428571428571,0.6,0.612121212121212,0.545454545454545,0.762637362637363,0.628571428571428,0.72580997584465,0.656574728008253,ATP6V1E1:SUCLA2,SUCLA2,ATP6V1E1
0.710714285714286,0.770588235294118,0.684848484848485,0.672727272727273,0.301098901098901,0.803571428571428,0.310502290445225,0.607721556957102,ATP6V1E1:TMEM30A,TMEM30A,ATP6V1E1
0.442857142857143,0.788235294117647,0.515151515151515,0.590909090909091,0.595604395604396,0.489285714285714,0.547510341275263,0.56707907060011,ATP6V1E1:UBE2E3,UBE2E3,ATP6V1E1
0.445040392186181,0.741176470588235,0.684848484848485,0.554545454545455,0.705494505494506,0.867857142857143,0.488695652173913,0.64109401467056,ATP6V1H:HLTF,HLTF,ATP6V1H
0.621428571428571,0.558823529411765,0.490909090909091,0.836363636363636,0.687912087912088,0.742857142857143,0.592173913043478,0.64720971027511,BCAM:MYOG,MYOG,BCAM
0.867857142857143,0.464705882352941,0.418181818181818,0.581818181818182,0.687912087912088,0.696428571428571,0.307826086956522,0.574961395929609,CCT6A:RASA1,RASA1,CCT6A
0.714285714285714,0.620588235294118,0.333333333333333,0.827272727272727,0.661538461538462,0.303571428571428,0.694782608695652,0.593624644141633,COX5A:UBE2E3,UBE2E3,COX5A
0.842857142857143,0.652941176470588,0.733333333333333,0.7,0.586813186813187,0.467857142857143,0.415652173913043,0.628493450892062,CRMP1:ANXA6,ANXA6,CRMP1
0.85,0.719646993944681,0.309090909090909,0.527272727272727,0.789010989010989,0.596428571428571,0.532173913043478,0.617660586255908,CRMP1:ATP13A2,ATP13A2,CRMP1
0.907142857142857,0.782352941176471,0.43030303030303,0.772727272727273,0.551648351648352,0.464285714285714,0.415652173913043,0.617730334456677,CRMP1:SYN1,SYN1,CRMP1
0.946428571428571,0.411764705882353,0.83030303030303,0.545454545454545,0.731868131868132,0.532142857142857,0.711304347826087,0.672752312843654,CRMP1:TUBB3,TUBB3,CRMP1
0.567857142857143,0.432352941176471,0.624242424242424,0.627272727272727,0.70989010989011,0.653571428571428,0.410434782608696,0.575088793802714,CTH:UBXN8,UBXN8,CTH
0.57730139227364,0.661764705882353,0.733333333333333,0.354545454545455,0.586813186813187,0.817857142857143,0.7,0.633087887957873,DDX1:HLTF,HLTF,DDX1
0.378571428571429,0.626470588235294,0.76969696969697,0.890909090909091,0.534065934065934,0.657142857142857,0.525217391304348,0.626010608560846,DHX30:DYNC1H1,DYNC1H1,DHX30
0.842857142857143,0.779411764705882,0.745454545454545,0.445454545454545,0.63956043956044,0.403571428571428,0.618260869565217,0.639224390881314,DNM1:ANXA6,ANXA6,DNM1
0.467857142857143,0.567647058823529,0.515151515151515,0.709090909090909,0.397802197802198,0.310714285714286,0.503478260869565,0.495963052901306,DOK5:TSPAN7,TSPAN7,DOK5
0.896428571428571,0.551876529098681,0.490909090909091,0.772727272727273,0.674725274725275,0.789285714285714,0.557391304347826,0.676191965360347,E2F1:TULP2,TULP2,E2F1
0.782142857142857,0.476470588235294,0.636363636363636,0.536363636363636,0.723076923076923,0.635714285714286,0.425217391304348,0.602192759742997,ECT2:RASA1,RASA1,ECT2
0.889285714285714,0.364705882352941,0.903030303030303,0.709090909090909,0.789010989010989,0.303571428571428,0.517391304347826,0.63944093295573,ENO2:TUBA1B,TUBA1B,ENO2
