"","P_GSM1679692","P_GSM1679693","P_GSM1679694","P_GSM1679695","P_GSM1679696","P_GSM1679697","P_GSM1679698","P_GSM1679699","P_GSM1679700","P_GSM1679701","P_GSM1679702","P_GSM1679703","P_GSM1679704","P_GSM1679705","P_GSM1679706","P_GSM1679707","P_GSM1679708","P_GSM1679709","P_GSM1679710","P_GSM1679711","P_GSM1679712","P_GSM1679713","P_GSM1679714","P_GSM1679715","P_GSM1679716","P_GSM1679717","P_GSM1679718","P_GSM1679719","P_GSM1679720"
"MINK1",769.703630557694,914.098989473869,153.58421624975,380.858970152605,740.361615219399,1402.56152891425,387.068340502593,1061.20911715517,495.442419217819,486.947605056897,1913.60982233189,679.241406886968,429.642278457946,673.318835806769,364.184558079974,593.320169600267,667.453093481097,611.647386832206,691.766763642951,1363.21317374258,676.977009170929,441.436103464135,1843.39698811363,475.285425944166,1440.44897074575,749.992403772428,157.397171871969,1124.63751257675,396.398728140162
"CIRBP",4.27613128087608,17.6759473102682,22.9916491391841,16.8171493314137,9.1906959130684,3.88162784754865,20.3030770822003,6.23781993919278,23.0438334519916,10.9837805651932,6.7954894258945,8.50570634742179,19.0767807037312,18.4302601041999,47.4041883451206,7.20631784939596,25.2929593319152,8.66049397284539,6.74894403554099,0,7.59794623087462,16.7937648057008,16.9210306684296,3.18983507345078,5.03301527164832,13.9474496052353,33.5142267103812,3.75191830717848,0.971565510147456
"HLA-B",9.97763965537751,31.5641916254789,39.5456365193967,57.3761565424704,57.1865523479811,138.444726562569,36.6765263420393,110.721303920672,58.7617753025786,54.9189028259658,119.600613895743,253.956089515879,174.179302077546,184.302601041999,44.3943986089224,120.105297489933,103.982166142318,44.3850316108326,136.103704716743,343.32776227591,62.3031590931719,305.486578846557,163.238178213086,141.94766076856,79.5216412920435,173.075170101329,29.9234167056975,126.627242867274,105.900640606073
"APP",0,0,0,0,0,0,1.30987594078712,0,0,0,0,0,0,0,510.911807719633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OLA1",380.575683997971,263.876641989004,686.070810313254,631.137721967174,452.386476609922,181.142632885604,559.971964686493,470.955405409055,452.811327331635,393.585470252755,150.859865254858,270.967502210723,355.823431386986,345.260205952011,482.31880522575,278.644290176644,337.23945775887,323.685962235096,582.658835068372,196.908569540595,554.650074853847,648.559202734445,336.429903878189,485.652389932881,383.515763699602,421.593363067341,1106.56794977669,245.750649120191,259.407991209371
"MAP3K11",7.1268854681268,35.3518946205364,6.43766175897155,8.9031967048661,8.16950747828302,21.995891136109,3.92962782236135,9.35672990878917,12.6741083985954,10.9837805651932,13.590978851789,14.5812108812945,9.12367772787144,8.60078804862661,5.26713203834673,27.6242184226845,8.43098644397175,17.3209879456908,8.99859204738798,161.566005776899,7.59794623087462,13.5949524617578,31.8513518464558,4.78475261017616,13.0858397062856,20.2871994257969,2.99234167056975,17.8216119590978,1.94313102029491
"UBE2B",84.0972485238962,431.798141436551,22.0719831736168,26.7095901145983,54.122987043625,109.979455680545,22.267890993381,155.16577098742,19.5872584341929,36.6126018839772,77.4685794551973,64.4003480590507,60.5480431031468,140.069976791919,28.5930024938822,63.6558076696643,61.8272339224595,67.1188282895518,77.6128564087213,424.110765164359,34.9505526620233,113.557838209977,310.550680502944,40.6703971864974,45.2971374448349,205.407894186193,11.3708983481651,126.627242867274,43.7204479566355
"LAMB2",404.807094589602,642.646941494751,236.354153150813,296.773223495537,454.428853479493,835.843863172143,288.827644943559,589.473984253718,327.222435018281,274.594514129829,712.167291833744,874.872652877669,1229.20821751868,954.687473397554,262.604154483287,631.753864797046,501.643693416319,440.602630868509,722.137011802885,893.661969453471,613.154260831582,347.870842403802,1155.60685917922,461.728626882,886.817290864435,624.46535732531,231.607245302099,956.739168330514,694.669339755431
"FYN",1315.62305741621,2843.30238162314,522.370268442263,937.803386245895,1355.1170529602,1885.17725795946,713.882387728979,1865.10816181864,1019.68963025063,703.877271219462,2093.01074317551,2425.34140992198,939.738805970758,2660.10087503952,844.246021003576,1649.04573453678,1743.80902949482,1377.01854168242,1163.0680221249,1827.71544035117,1312.92510869513,1326.70741965036,3006.96668525447,1232.87125588872,1467.62725321265,2086.4116659468,492.539438975781,3097.20856257584,1619.59970541581
"HSPA6",54.1643295577636,2513.77222105314,29.4293108981557,50.4514479942412,46.9746680001274,137.150850613386,24.8876428749552,525.536329876992,42058.4526249024,85.124299380247,212.019270087908,201.706750524574,742.33559694954,199.046809125359,104.590193332885,217.390588456778,191.102359396693,127.74228609947,194.594553024765,48187.06122296,24.3134279387988,1452.26080415013,1076.97383430829,101.277263582062,89.5876718353402,704.346205064385,25.1356700327859,205.417527318022,165.166136725067
"USP21",305.030698035827,675.473700785249,97.4845923501407,167.182249235819,212.407194435359,414.040303738523,195.826453147674,383.625926260356,187.807242633731,140.043202206213,536.843664645665,219.933264126192,184.132405053405,286.283373618571,112.86711510743,273.840078277047,240.283113653195,185.11805866957,159.725008841137,671.508711510235,273.526064311486,194.327849894538,579.296461707415,182.618057955057,273.796030777669,301.772091458728,98.1488067946879,348.928402567599,149.621088562708
"EPHA2",118.306298770905,489.876254027433,57.0192898651766,74.1933058738841,107.224785652465,174.673253139689,73.3530526840785,233.13852022733,307.635176584088,86.0396144273465,179.400920843615,524.923591726602,439.595381433806,313.314421771398,217.457308440315,351.908521645503,359.722088276128,190.530867402599,258.709521362404,323.132011553797,117.768166578557,207.12309927031,413.072219258724,152.314624757275,232.525305550153,356.927914897614,63.4376434160788,191.347833666103,248.720770597749
