V1,V2,Gene1,Gene2
P15531,Q9Y3F4,NME1,STRAP
P00441,Q13501,SOD1,SQSTM1
P62195,Q15008,PSMC5,PSMD6
O43396,Q15008,TXNL1,PSMD6
O60260,Q5S007,PRKN,LRRK2
Q38SD2,Q5S007,LRRK1,LRRK2
P37840,Q5S007,SNCA,LRRK2
Q5S007,Q9UNE7,LRRK2,STUB1
P11177,P20073,PDHB,ANXA7
O43236,Q8IUQ4,SEPT4,SIAH1
P37840,P42858,SNCA,HTT
P37840,Q01959,SNCA,SLC6A3
P42858,P61086,HTT,UBE2K
O43236,Q8IUQ4,SEPT4,SIAH1
P61086,Q8IUQ4,UBE2K,SIAH1
P22695,P31930,UQCRC2,UQCRC1
P42574,P55211,CASP3,CASP9
