"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"MT2A",10195.6911960201,7406.55905884694,12689.2254950473,6720.16958033964,13217.4342434506,14589.1076121145,16853.975719693,7286.55690462696,17454.5873154701,5743.07610339595,9254.57532367638,9601.94109245961,3734.41912999266,10502.338148978,14068.2375066508
"CD84",97.5357908613643,133.573585915598,150.128246550663,115.655585814294,109.088828347963,110.243873696337,126.085368698464,150.888619089528,88.9938233466505,128.578337599994,165.058955343164,122.774428468612,161.498916927567,112.721348526209,126.178208663192
"STAT4",133.923206304481,164.537041230904,165.048866050537,143.806319555104,151.178227642691,152.870083238997,162.973830397232,167.980977573027,126.991899165735,105.097823688,122.069564726093,129.197792507038,158.509331982069,146.2700135488,132.865564058905
"CDC42",99.7995499624765,60.1026392798952,96.038437541534,110.675936494174,39.9549454659223,51.3190079046449,54.4723420299067,40.2732375861922,86.331550558233,61.0214240076131,58.572945684113,68.9003398776559,337.216638936072,107.25878706953,49.8061511929165
"GNAO1",69.7572700380227,328.196033735478,125.40609718374,151.203592148041,99.9160922358693,75.6809843343521,69.0067216337141,147.911391210271,285.235374738194,56.2098978913863,66.5833264990571,103.783506668441,162.699942703043,347.143782168666,73.1241075734857
"CHGB",196.918616516891,316.794576282466,331.65511914845,374.947645805699,151.348658393446,172.635489949654,146.487735610447,207.950630746698,359.962750168544,137.537755114154,151.960482778948,134.683387810007,233.610991744189,459.627703035379,184.534840503778
"CDH2",948.490909839855,1052.87097983454,1318.20015542358,1571.9651722484,937.270678164113,680.014023860244,987.587247228357,902.069330171026,959.704251802696,1589.54240686315,1235.58681906377,1286.76859222044,1141.14468977893,920.668406220819,1078.64924752197
"LETMD1",383.941455662273,514.405213039956,332.817584260575,347.420533967568,387.462775312571,235.880504445667,336.404372413787,401.987086114475,465.23848117245,366.296765095892,586.361447723612,342.599635936401,621.348641458223,478.018188392475,289.237544296105
"EXOSC5",142.05041814899,165.161277513668,138.144932569032,151.946173726245,174.330505290747,192.017984046689,148.909526861008,175.255740410484,165.088906879362,114.098877207181,141.56787669878,138.413201669497,154.47491926369,151.482286859908,149.473270021803
"TBCD",158.816228498537,198.277831559366,146.549499856741,228.115668068788,208.304253419254,183.899819652275,177.994338543212,185.086492170186,212.468907042587,93.8600655348498,159.63903631545,109.80034940551,147.365053479845,220.264877019874,178.458352873189
"RGS7",394.352008894402,904.499331456717,192.962464860483,468.383996856216,331.371848110865,108.648954253257,204.07993270514,405.220525668371,487.952297480432,291.229475973628,298.345383600819,429.740533338914,1175.9566029082,669.699266179988,249.515703766163
"PRKCB",299.397629648125,1269.56244670043,52.0756694471189,380.258632722325,286.772205494677,50.7325153827851,37.7057080141427,284.274606004822,1321.77830644028,140.840338238773,92.2286801098734,226.852018611067,1201.12105216906,1858.31251944399,311.410239486161
"NPL",32.792415035223,67.2848298796021,42.2468348890521,31.2526042522702,43.1111681616491,32.1769113433579,35.1575472422092,37.6265813644201,38.5053527195895,90.3373919516752,70.9450864094021,87.6974873297332,65.5739533226063,41.3773635323649,60.8176740634871
"CFLAR",56.8493070237699,50.2350326264428,49.6087212295247,56.2499662234548,49.2693991594798,73.8601193767727,53.6917011749609,52.9770360285247,48.9841119494478,49.1930435056939,49.0756622586418,49.2290285577106,48.024079898583,45.9724172173772,53.0445586939339
"FH",363.070864997423,282.972436855164,264.343019260554,171.128391899973,192.406636142296,110.600835383386,99.360599779647,189.981362829188,270.68832143194,182.264185701601,178.256625831194,188.930419718516,229.026314437283,285.403836858792,216.210630348791
"MTHFD1",169.835732800742,212.8540477064,180.742426068344,156.479542570892,189.401394633873,103.604847097383,118.329623447157,188.582694662991,255.368177852871,120.235355658587,187.264815414066,200.488156207565,200.91406577788,285.01385452301,156.847019476427
"SNRPA1",112.382620606746,112.156023017395,99.939105771015,117.122756008835,126.451460904917,135.269900223599,116.620586405928,122.204576490423,117.424703701804,135.395745444874,116.217946712229,119.030071075073,148.286289927602,107.116795741353,155.778101024022
"CIRBP",2541.08777664782,517.715541199775,584.917422641682,1126.64121954847,959.438862920714,1078.33588714318,1109.70841556178,652.296983520078,679.751802447166,286.810680526567,1693.27366048359,354.663432158023,549.318988374413,954.625638102592,343.683791462868
"NOTCH2",449.753604613275,464.446643731633,652.202336107678,310.346002242853,536.776686081188,368.172630079497,1142.95472484228,554.874468906735,603.053155137175,1728.78797800881,1167.48283710677,876.790733858302,749.985539701074,472.039181366817,503.470725986162
