"","P_GSM1192704_BR34_1SN.CEL","P_GSM1192705_BR34_2SN.CEL","P_GSM1192706_BR34_3SN.CEL","P_GSM1192707_BR34_4SN.CEL","P_GSM1192708_BR34_5SN.CEL","P_GSM1192709_BR34_6SN.CEL","P_GSM1192710_BR34_7SN.CEL","P_GSM1192711_BR56_1SN.CEL","P_GSM1192712_BR56_2SN.CEL","P_GSM1192713_BR56_3SN.CEL","P_GSM1192714_BR56_4SN.CEL","P_GSM1192715_BR56_5SN.CEL","P_GSM1192716_BR56_6SN.CEL","P_GSM1192717_BR56_7SN.CEL","P_GSM1192718_BR56_8SN.CEL"
"RPS3",2408.67941329746,2871.90192512114,2827.09995264801,2243.41211922548,3084.04395377818,3489.65506647425,3028.94773264522,2435.26435203594,3317.95874947799,2559.46637293931,3614.60240178113,3395.39766349586,3599.15043291743,2635.14618352392,3040.9436653233
"CASP6",55.3261555407397,71.0413171030743,92.4106390171047,76.6688103056162,58.0479334135826,92.1653476049422,72.0565337422614,45.6698909353206,77.5351514154113,66.1871472596112,84.9701546705794,68.6483095762488,82.8950657849062,84.6115889060288,55.990907657522
"SWAP70",176.001584622762,256.621097280129,219.163166278979,298.58244978217,283.759053738731,415.906291446923,326.054257637643,305.296470958747,396.363153614472,314.524631691642,379.714211191153,344.775593342161,384.18619883149,465.383899275316,274.612706540479
"RPS6",4157.69977933895,6000.51328886125,7133.04637082208,6351.80633964486,6122.49806577287,6134.55313074647,6890.43268967824,4953.19710299578,5934.15506647424,5630.36909427057,6511.78204146399,6068.63967193572,6334.60955691485,5610.81340749209,6554.43758483452
"BEGAIN",261.659961895363,165.273151557114,181.793337192524,225.950810670387,194.77542896854,148.932406305595,128.329205111534,157.568689490522,127.367024686928,174.591779263039,187.850722366922,164.40889216098,145.213255932027,96.8024280979552,167.121004215048
"TWIST1",158.583159716571,85.8670703214489,75.1923309519894,104.388436625554,124.763762126425,73.3118205176394,107.437675170285,83.1957833615783,66.1874518710791,113.697426602405,50.8170936388857,63.6044163934804,42.6673338562961,52.4491867176227,40.6683675866119
"NPL",129.191267724064,81.0294835128831,211.18514790004,110.110154297694,150.363940805214,218.913154605261,114.714000821302,195.587770202856,369.69854473512,196.110879556538,261.4494898422,178.49690663602,258.659462553883,231.444106446822,302.904541392626
"DRD2",422.129634331615,251.903963774998,287.872457778599,359.203056910758,352.398851543852,195.71537357044,85.9944404984475,193.568109952512,140.497729876631,296.561707942597,154.511505919549,165.886046111842,98.6693418745357,89.5338795285253,137.556834906549
"GABPA",62.785793629757,107.256382913312,95.1002829153637,74.6132650213972,92.8487484135459,123.437675169905,87.781893787075,73.8377032302246,124.601661341207,133.476753859287,58.1343847727822,113.887403048501,125.164505568959,140.022050536822,93.9788251964817
"MAP1A",5459.76986672764,3461.91519071708,3656.78550125686,4852.2046886052,4540.77635905665,3293.01970822882,2083.60284752513,3686.75210085483,3384.56176896147,3853.65635969593,3295.26096831567,3788.0967132569,3065.46523891692,2054.03634050518,2912.61599942091
"RPS19",4823.47453342841,5668.33526591682,6418.00260145332,5137.35181861421,5503.01150005198,6119.00289256121,6508.89419690904,4006.638195043,5768.92974326742,5476.31676260281,6826.32087378486,6270.37215378304,5931.39419690903,4790.24871983065,4916.60606117651
"ATM",246.53166350676,341.915936039468,258.347970374164,236.981313057587,285.470619000169,363.218897447446,252.690615279672,394.180135838246,403.767253601075,357.94805390548,277.710006531335,284.176805604686,328.873568453102,473.50407068237,319.427649120734
"APEH",113.607711551139,92.5681100520775,94.2959444722491,88.9268244865628,83.6489231182508,86.2739630173553,81.7703415047215,78.8991622980544,75.3184524416787,79.7247939004681,69.3439382639338,83.039267974219,76.0691050901064,76.089860781527,69.9694903805295
"PPL",30.1707174569595,28.2043858760703,18.5660670443888,25.4401336700528,24.104539988242,24.7276337020236,15.1023697665723,20.1221680536043,22.8926487580881,24.9957742164621,14.2016888344585,16.8326102472994,18.7089880907101,16.9238635659535,17.7008723504845
"KATNB1",425.076546486928,293.640930623066,177.42250294595,346.239552112277,310.575949700378,289.614466481868,201.880869824934,204.691550038734,289.582697968367,301.742459375481,235.611588213381,328.477225347437,273.567577870303,155.012657181036,204.919130899509
"ARRB1",1417.85433773062,922.887110426828,584.239580124419,962.919691044794,937.554758855461,788.898095695627,724.778808415167,723.355565804535,866.9465087532,887.384947448548,675.220270689766,637.149403726154,523.64657297906,622.678345920375,670.872855364169
"MAP3K1",159.322771729845,191.45597852441,191.45597852441,148.074563348721,185.785751378206,295.611588213382,220.220137078434,211.314366064879,238.049160975556,244.730643825949,217.111059708547,290.104128102004,299.394910830121,234.212826298309,194.278741840636
"SSBP3",1229.51294293441,554.568986799292,475.372690099143,944.119862244009,850.101990995023,544.146578124576,203.718680745425,627.623955091745,348.787400989804,563.191289248041,387.465836947029,348.192193298209,388.563157871114,233.715932431433,374.58275721074
"CHD3",244.721509959522,161.916112154692,157.998807460975,216.920365647408,208.940782845305,121.726569408645,86.164790978474,141.808259476471,105.655066475056,155.553905196432,158.413520560721,115.077281244353,134.436465698503,91.4040971870512,106.554241169383
"EEF1A1",12106.9674076478,11187.1648667083,13283.6703002523,12274.840145531,13852.2263724526,15342.2498500563,11682.5454579508,12295.7756112435,15784.4776204051,14263.180082272,15107.2276576522,14525.2202838656,15758.3042897068,13519.3317862145,14551.4138293436
"ANP32A",584.17756510518,724.091153723495,1340.89894983064,771.220511218351,757.220283865555,1063.16714231192,972.843363007589,566.176609945087,1046.96250615923,905.894887998225,1150.35071864816,1328.22191171525,1159.69871695201,1314.38512883911,1386.7582324539
"APBA1",2003.31398707593,509.400266720163,905.622724842995,1227.94520116122,1327.29450586519,553.487958237427,132.050785353178,630.545852990406,596.573889401118,1082.09393562846,591.719262547236,520.235672232094,318.064577324311,185.524631691642,530.310698441903
"KDM5A",24.2060678484603,29.1169705201787,46.2034468070539,30.4621892072241,34.618396148546,34.0881803793446,34.8081236440805,46.9383349009268,38.2464292476867,33.8555480386949,38.7409423146419,44.4532734133014,46.1147395273511,56.2596709255526,47.9336121021002
"LYZ",225.287723517857,135.256754979833,269.987131039214,120.160439046636,307.629612003136,266.466596802972,183.263762126425,261.740023928857,217.046370822077,121.104691972927,278.056877003379,452.666295406374,497.146596528563,84.6115889060288,153.76269850138
"GSK3B",182.330436860056,141.161306689871,182.07910650156,145.153881807614,178.254373151284,125.352103012357,130.038050878024,75.3638281502127,132.431490936079,150.164107370408,100.345423276412,127.827325361757,113.971943066654,91.5246317939385,177.915936039468
"GNB5",793.447308607948,610.337759126955,368.906629041907,627.305918186171,575.263762126425,443.369743184312,274.642091249909,428.787829832549,446.934444492473,554.780399881675,357.973127158106,423.022462579183,370.220283865555,266.068416842846,285.85878328455
"HNRNPH3",271.394196909034,312.583029365508,388.312991247918,271.425337561217,338.607241513015,361.621429901581,330.573089105108,765.253771039183,441.464565370211,421.655066474251,691.576899773603,464.178829195152,498.297715187826,502.344010955448,374.187613846398
"CRMP1",741.391584269497,559.569029093004,411.016770752401,706.292028717178,676.683313891436,397.156876383777,278.14333314723,327.788809198663,385.23413191807,504.998925951258,465.160032448544,392.998547089734,350.437675169903,224.846222808103,422.416922623722
"NEO1",199.049115778404,345.826492113823,281.601612804449,302.17175937934,226.416428117397,252.487198320915,270.0756714201,293.002417793664,192.486275631143,236.765941327084,256.474919427603,279.631613574627,297.70436985375,274.534258256644,303.352086036277
"GFRA1",76.6491592515704,57.1668466573637,26.3682012115876,65.0030748753425,58.1778617455466,43.0853929883487,30.308995182304,36.8552911839442,45.1583547814963,42.2072562176224,32.7234783845013,34.5489856256881,37.5264569268067,32.5762973726199,37.7941008380948
"LRPAP1",700.39679490431,572.006318796091,145.747320039665,638.312420827352,376.658663486698,226.469069527807,73.0970441929066,227.302224438246,270.49317163466,299.29023874586,268.818775118719,203.232345072813,198.067911426962,113.130342709232,311.133327343816
