"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"DDB1",NA,2554,3.82513661,0.00049223,0.26142857,0,3,6,"false","DDB1",60.33333333,3,0,0,0.68609593,"false",0,22028,0.34901961,FALSE,FALSE
"DDOST",NA,3304,4.13240858,0,0.24198962,0,2,7,"false","DDOST",39,2,0,1,0.6519546,"false",0,0,0,FALSE,FALSE
"DDR1",NA,7243,3.89617486,0,0.25666199,0,1,6,"false","DDR1",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"DDX1",NA,3497,3.93232451,0,0.25430251,0,1,6,"false","DDX1",101,1,0,0,0.67418617,"false",0,0,0,FALSE,FALSE
"DDX21",NA,3845,4.02984447,3.43e-05,0.24814853,0,2,7,"false","DDX21",27.5,2,0,0,0.66335061,"false",0,2684,0.51960784,FALSE,FALSE
"DDX23",NA,4434,4.04791929,0,0.2470405,0,1,7,"false","DDX23",66,1,0,0,0.6613423,"false",0,0,0,FALSE,FALSE
"DDX39B",NA,5949,4.08701135,0,0.24467757,0,1,7,"false","DDX39B",45,1,0,0,0.65699874,"false",0,0,0,FALSE,FALSE
"DDX3X",NA,8157,4.01471206,9.279e-05,0.24908387,0,2,6,"false","DDX3X",38.5,2,0,0,0.66503199,"false",0,3700,0.50675676,FALSE,FALSE
"DDX42",NA,4027,3.10004203,0.01409904,0.32257627,0,33,6,"false","DDX42",7.32258065,33,0,1,0.766662,"false",0,780178,0.05854241,FALSE,TRUE
"DDX48",NA,4830,3.92223623,6.78e-05,0.2549566,0,2,7,"false","DDX48",67,2,0,0,0.67530709,"false",0,9632,0.53658537,FALSE,FALSE
"DDX5",NA,8784,4.01261034,0,0.24921433,0,1,7,"false","DDX5",79,1,0,0,0.66526552,"false",0,0,0,FALSE,FALSE
"DDX58",NA,6649,3.95922657,0.00012035,0.25257458,0,3,6,"false","DDX58",49,3,0,1,0.67119705,"false",0,5972,0.50526316,FALSE,FALSE
"DDX6",NA,8051,4.09163514,0,0.24440107,0,1,6,"false","DDX6",17,1,0,0,0.65648498,"false",0,0,0,FALSE,FALSE
"DEDD",NA,8672,4.086591,0,0.24470274,0,1,7,"false","DEDD",47,1,0,0,0.65704544,"false",0,0,0,FALSE,FALSE
"DERL1",NA,3205,3.9924338,0,0.25047378,0,1,7,"false","DERL1",57,1,0,0,0.66750736,"false",0,0,0,FALSE,FALSE
"DERL2",NA,4768,3.9924338,0,0.25047378,0,1,7,"false","DERL2",57,1,0,0,0.66750736,"false",0,0,0,FALSE,FALSE
"DET1",NA,2722,4.10088272,0,0.24384994,0,1,6,"false","DET1",29,1,0,0,0.65545748,"false",0,0,0,FALSE,FALSE
"DFFA",NA,7223,4.43253468,0,0.22560455,0,1,7,"false","DFFA",50,1,0,0,0.61860726,"false",0,0,0,FALSE,FALSE
"DGKZ",NA,6777,3.80832282,0.00120067,0.26258278,0,3,6,"false","DGKZ",125.5,3,0,1,0.68796413,"false",0,42352,0.50404858,FALSE,FALSE
"DHODH",NA,4626,4.0668348,0,0.24589147,0,1,7,"false","DHODH",64,1,0,0,0.65924058,"false",0,0,0,FALSE,FALSE
"DHPS",NA,3161,4.35855401,0,0.22943389,0,1,7,"false","DHPS",86,1,0,0,0.62682733,"false",0,0,0,FALSE,FALSE
"DHX15",NA,8376,4.09962169,0,0.24392495,0,1,7,"false","DHX15",31,1,0,0,0.65559759,"false",0,0,0,FALSE,FALSE
"DHX16",NA,4137,4.13408995,0,0.2418912,0,1,7,"false","DHX16",7,1,0,0,0.65176778,"false",0,0,0,FALSE,FALSE
"DHX30",NA,4299,4.03993274,0,0.24752887,0,3,6,"false","DHX30",80,3,0,1,0.6622297,"false",0,0,0,FALSE,FALSE
"DHX9",NA,5290,3.93232451,0.00211408,0.25430251,0,2,7,"false","DHX9",61,2,0,0,0.67418617,"false",0,385668,0.5,FALSE,FALSE
"DIABLO",NA,4565,4.17612442,0,0.23945647,0,1,7,"false","DIABLO",6,1,0,0,0.64709729,"false",0,0,0,FALSE,FALSE
"DIP2A",NA,4796,4.03278689,0,0.24796748,0,1,7,"false","DIP2A",64,1,0,0,0.66302368,"false",0,0,0,FALSE,FALSE
"DISC1",NA,5099,3.93232451,0,0.25430251,0,2,6,"false","DISC1",101,2,0,1,0.67418617,"false",0,0,0,FALSE,FALSE
"DKFZp434N1728",NA,4889,4.19083649,0,0.23861585,0,1,7,"false","DKFZp434N1728",4,1,0,0,0.64546261,"false",0,0,0,FALSE,FALSE
