"","P_GSM208625.cel","P_GSM208626.cel","P_GSM208627.cel","P_GSM208628.cel","P_GSM208629.cel"
"PAWR",34.7324795154351,38.4590302161873,42.5571437542279,33.2189704613789,38.5135184098651
"CDKN1A",277.669139583298,234.482408961877,224.746955937516,199.738455712949,283.509277797527
"THY1",342.297418484619,768.01507845913,217.849104241398,161.47548647195,662.121085504944
"SSSCA1",26.6586735618902,36.4245430905386,25.5531571641676,22.3219571574177,28.5323013819203
"SPTBN1",321.487386759782,313.514886405222,397.656735217042,307.96870737276,376.501900043498
"CDK9",59.9593083580421,63.2390273245336,55.3948203912732,60.3291388944382,59.3165683433479
"ID3",46.380849957866,52.5632899410779,53.1189903867164,44.7317679540956,48.8023299102975
"VARS",19.3340963482308,28.6683318330394,19.4759283353187,17.1563078859233,23.6402682249695
"RPL14",1710.67420291173,2156.51166513788,2176.79439366037,2429.08298408618,1588.86211518751
"TUBB",683.709620581381,747.188857196089,857.480037168843,512.687340763442,1369.45810535434
"PRKAR2A",142.485194336728,135.417604981946,143.282532219389,144.38791439364,114.134286854282
"FYN",568.553987235454,602.414741780272,620.569016119261,766.244413477533,552.759277797528
"MZT2B",140.309526867421,99.5310346769706,86.1548649973824,112.824587318415,78.5098402184637
"LZTFL1",64.8389279331653,70.8708258571077,32.4904547145103,48.2408998141669,93.0976016108069
"SLC23A2",23.8168314964199,21.8381669070187,23.6217347542075,24.7057557741173,26.2884238882199
"RBM42",98.2675494907186,98.4798070814614,95.4128167153316,84.7505585071287,100.645434137503
"EPHA2",49.0824608768133,47.8599134450705,54.922912604724,43.053452278604,53.6315962408979
"CCNA1",61.2964928233479,62.8975227329191,54.4390596945853,51.7319412613643,57.0248815631927
"CFLAR",98.2105543361432,83.1499185415414,102.362574378828,72.1183981745027,66.0754669574871
"HSF1",19.5885844640567,22.8267176857641,23.3020480916069,21.372250453139,22.2489343145915
"HLA-B",593.106689533875,594.133372001096,1036.40551983201,604.781305646714,676.955035334915
"RERE",48.5835422754639,65.6164694364774,43.3068443770907,49.3065017847488,56.3846969235155
"FLCN",51.5708834034183,30.832201927328,41.9497299698649,44.039762231623,28.0879008648202
"GPHN",54.9218297714311,75.2614712979186,70.6454428354274,57.6985676880197,90.0070764075874
"NCK1",79.6889297567306,68.6076917057484,77.6089065416441,84.2540989552576,66.7311732050203
"CDA",57.7595782990031,59.4238309417905,55.0719323807497,67.7512543347505,45.0281646010868
"PEX14",66.7710083701517,85.8837387539414,55.1476223323917,47.6698493686094,84.9343771819931
"NUP62",21.1797483166481,21.1560350606626,23.9277683909307,18.6168057846672,19.8903798125267
"SEZ6L2",344.569575972281,426.261114125027,138.207834407771,162.334277797536,418.854069628367
"ARPC1B",50.8789022229504,58.8416122104333,101.449533508893,62.5598946147486,59.6032937490829
"TNFRSF1A",128.332555371518,95.0175443813513,148.785293258513,122.833095414507,148.997575315037
"SWAP70",25.8312276911331,27.2481779237864,20.6584410592746,32.8864914883853,24.2680718389949
"FGF2",43.765853094025,44.7735485596494,61.3480830472036,52.5852663232538,60.0034374520225
"PYGM",86.2681255470003,99.2478077322008,89.1605343766057,102.359341558456,87.8226357332223
"PAFAH1B1",50.6998737614521,85.3745809406791,79.5628295933137,54.8451609952154,131.940131267792
"PALLD",38.1925801466673,36.4330211992149,40.0387034377228,35.2785010994334,33.8113616653839
"LONP1",126.998418910865,179.138089622675,142.929269583496,127.34621560186,149.335442573618
"KCNQ2",248.86784261303,305.394861708687,156.248097060865,144.135427076148,338.767368165049
"HTRA2",111.344661325411,148.326687832344,114.153281616268,99.2462816623212,154.945577220435
"FHL1",34.7539279504587,71.0163261039973,47.3350560628588,43.4927742458639,58.7891664267802
"HLA-DPB1",163.884277797532,156.007539775971,500.831703176294,143.130312373752,164.637251545392
"RUFY1",172.500274035688,184.709277797528,195.099328030697,203.619822099127,178.74286495431
"ATP6V0E1",262.332381359617,330.531339084334,481.562886581907,542.475799971987,306.267360122019
"ARL4D",148.721777798189,147.7273806545,138.184277813178,137.418072315251,128.244839545747
"PGF",361.437042906222,356.157867251213,323.330234060807,412.376086269723,251.431198753964
"POLR1B",118.002445709566,134.697543635259,144.738930439102,152.780713995048,94.5110023162301
"SLC16A1",366.808194305599,305.825715230343,235.499255957326,399.371373543688,226.756992059299
"MAP2K2",138.678276656103,122.428547678682,101.80659934695,86.9865257054095,101.641266892152
"NDUFA10",175.690096392857,306.228810961686,198.15876218071,193.608184556358,289.329768876972
"AKAP6",152.734277797718,160.34327338334,130.351250759973,136.201910454634,167.342118603866
"LMNA",141.155279072924,154.408776972814,130.733551750953,123.35008230628,99.3761218138742
"ANK2",121.580440051538,276.711555197542,166.223951149031,161.918008932997,312.304219701666
"NAPA",246.651147924915,391.9351385275,233.955956537365,162.749880986645,413.881383532481
"HNRNPH3",103.033368830802,65.6802936699018,102.765321113406,128.889806232311,98.5116811290719
"JMJD6",99.679327065418,83.3010216026981,71.4273546243216,94.5312734804578,86.4240182978877
"CUL3",18.5791939025725,20.2277471111146,14.7909033546949,17.1705883480126,18.2528692078042
"GNB5",46.407099353475,83.022288225394,50.706123140927,50.1923939553224,77.4824660835045
"PRPF40A",119.52995119815,149.204310073574,213.578689628586,157.776240356401,155.870160792513
"PRPF4",86.1570515562663,97.4596232110705,98.6083152553328,87.5046920938162,122.921778844252
"IGFBP7",22.3270947553526,19.0676786380859,24.7751549202821,26.8173172651559,19.3790716508094
"TCEA2",116.39506113121,187.353130897275,110.350089057659,89.368174601417,210.331908126039
"DYNC1LI2",1116.58653680306,922.357592800119,1203.17782939351,902.207237598903,837.525479879602
"SF3A2",54.8407487957853,50.9441454238571,55.810198657775,63.6252841457492,57.191474671303
"IL17RB",116.238573770261,145.088038463551,126.77842620918,165.661441811185,107.53431975122
"ELK3",17.8740918746123,20.0352990666103,22.2762018442635,21.665489628491,20.9112887588969
"ATP13A2",211.743104725316,235.998078679575,84.3145164337047,92.0244844955105,185.161361797969
"SYN1",1086.0055516921,1096.19679444689,285.163176406551,440.718650061063,766.558764020551
"CD2BP2",89.8379083470883,112.094470179863,110.693811481738,96.6416185612425,98.6567913843398
"ATP6V1G2",468.743142524253,683.990996822457,172.071777797528,270.096777797527,748.991511254459
"CNTN2",156.616401976483,161.320801140828,163.167054901241,142.412297709378,166.425635106061
"AP2A2",244.646545239646,411.265032270379,200.652545790946,182.885541526117,445.957886396423
"TUBA1B",5362.4382470099,6519.62177779754,6370.75895223983,4186.29420257113,10119.7842777975
"MED8",31.8473988968707,39.3554344928931,36.3831695001204,33.1940113844193,33.4668695262028
"APLP1",1197.0113270658,858.657046896384,1036.5082146127,645.480037187396,1054.81119887496
"KDM5A",47.6715241703774,54.9944646174995,65.3883601096879,72.7576889704984,45.7746111438773
"STAT4",123.530675594097,145.717327450352,64.557076244527,82.1806385701103,149.782611563902
"PITPNA",84.0135900282032,168.366316983572,112.25929233604,133.738227074855,157.946777797562
"UBE2Z",236.307086907922,260.516457987064,257.115685351945,207.914873658199,337.334379706873
"NOTCH2",200.697297693316,188.152142938286,209.700290004042,302.113270026214,171.516195719657
"UBE2N",150.41590985419,216.782213931935,95.0714451771201,105.487842881104,243.096651413776
"PRNP",185.659144948799,388.838030192701,334.457215811671,237.692247181615,473.556459138899
"VAC14",132.698781329088,131.874174370675,113.899657138865,121.726359811048,119.823435474609
"RPS4X",1559.65780852503,1979.59134859862,1878.77323299094,2244.53802702481,1939.77738343948
"RPLP2",82.9852968637147,76.2691248668768,87.9475042019121,109.842245158436,88.8622750764809
"MAPK9",166.38427779753,202.565348009061,147.124659879342,142.681515590417,198.500106420813
"PLAU",61.5206756826663,54.1196281380221,69.8091520435742,68.0452069971389,55.5304572009132
"CNTNAP1",670.783312309835,490.657553843658,395.271777797528,379.837919461826,493.984277797528
"YBX1",546.66284903833,523.652992843214,959.412869850911,838.760014354399,486.040917211964
"BSG",243.492226844751,267.688656838257,268.579758477724,275.57733576222,208.72644090811
"LSM8",31.7935620763225,35.4641919280231,36.3964507063614,38.1030697323171,45.1271316682307
"FANCI",36.9714957535965,44.1940002660538,40.6043652908464,40.9413248280709,41.6831788653972
"BCL2L1",15.1488264337615,12.1674952605298,13.7285089820071,14.3961625252768,11.9641508253447
"TNFAIP8",18.0892962883165,20.6856759303303,25.160208037449,20.7131576324474,18.2365597585764
"RBPMS",21.1763139501812,30.0411879495448,30.6804967629699,25.7871766383096,23.3696786983796
"BPGM",15.2429077968617,16.6748303195311,15.2641626792783,18.1841476642138,18.9922399209558
"APEH",66.0351412014681,103.586562865772,90.9448311994477,64.0967630776219,80.983312315613
"ACTB",1032.5077217316,1241.40393988715,2130.63051954458,714.686067637549,1775.16806335918
"ELAVL1",139.919325291048,113.685108871078,243.974724935071,226.50151282723,154.763584759049
"BCL2",88.8690040838245,84.6644872687975,104.928790817506,135.066269413515,106.675588468721
"ERAL1",108.49735436985,135.910081710353,106.435471130544,101.743752431456,126.84546277526
"YWHAH",430.729265348716,1174.15508322432,313.834277797528,293.08512932785,1336.57589878305
"ITGB1",291.809277797528,253.356827040167,561.476858213119,391.810376626364,294.925740972403
"PRKCD",33.6631117140418,34.9514174847207,51.1435862721233,39.4030815031076,41.9112215627785
"GORASP2",150.279463637925,201.752722447709,201.831549410729,171.596895094728,204.564481137792
"BHLHE40",75.0771160552293,69.2667865079274,82.6260890837788,58.4014682210636,82.1158453440584
"STAU1",59.0833727927465,73.0069866332389,69.2866203345377,72.4968952671878,81.5242189822326
"PPP2R5D",36.3342956264687,47.2999895228706,35.2161505683204,37.6403309152175,44.3541924072871
"CKB",740.814184949019,892.587998660679,626.670278076584,680.651181176536,756.476750655605
"FKBP8",524.097388360698,317.984601055287,311.123594166304,342.38795999427,336.568487465044
"DHX30",153.480637528332,226.927892745973,143.39803626551,126.825859840731,184.559671350629
"BAP1",308.11513465362,387.696546536594,225.252423501407,295.150950924036,301.453675433071
"TP53",30.2062556085742,18.7626752422351,29.8347095173137,27.4145139163337,26.4784297590052
"MAP3K5",119.947562055011,146.790345584507,241.474363340908,193.199695387513,160.888708035049
"SF1",264.135494684847,261.427094381966,242.584277797528,234.771300459181,310.522461640861
"MTCL1",97.5897210233921,111.545252503177,53.8830689311874,75.176967660369,91.6853633877861
"ZCCHC8",35.7640779650256,25.8457086104481,31.2779066109719,32.1163321571174,28.7860000512726
"SEPHS1",51.0510536432273,54.4615066835532,48.0290349803357,51.821858008083,44.5441687656028
"PPP1R2",25.5351201917069,35.4948785053402,24.0961287393084,23.6669125312527,39.6706498920812
"SF3B4",92.3091316402917,70.2346695601773,68.1054818010401,60.539187379604,61.8932663580195
"RPS17",1915.11693170564,2247.39463655285,2861.62171047215,2640.44544102986,2256.07387985628
"NUDT3",133.615228443479,155.960215854771,150.029019377169,157.63043625294,122.591414524458
"DLAT",64.3492426196098,97.346594308982,81.296553895476,72.3505124616207,107.221823921111
"TRIM28",254.023165369656,223.257563533287,236.971777797528,174.87499038242,242.296777797527
"MINK1",84.4781636000299,79.2546711064041,85.1364489106466,86.9910172593655,60.1260283836726
"TBC1D17",132.584447670553,119.329163354641,100.708624779078,117.508488919818,122.704940760332
"ADH1B",10.5210245089278,10.1109509390219,10.6984355253481,10.8576795573888,8.96375755808494
"ACOT7",79.8863177757214,161.389548891447,93.6732838572056,81.4630217671748,110.830920743067
"CASP6",16.8638320701825,13.7629913290599,15.9213059494234,17.7410342676439,13.3839757768637
"DGKZ",774.868724428862,582.630736698488,267.539778432067,445.802914081929,545.834337042638
"DDB1",321.387062960163,357.078562061888,263.582802567353,269.744072180752,392.088899022005
"TAL1",23.2585845940864,20.6085919140269,24.3303411350694,29.5861741179724,20.8004216026714
"TUBA1C",5342.53427779753,5383.57351138734,6053.55758971622,3822.08452236589,8360.03984923681
"MAP2K4",79.1168990379427,152.443993728186,77.8726990298223,88.1443389565563,164.159277797532
"IGFBP3",181.853263710102,315.909277797528,77.114747339879,150.574584353431,114.538701306104
"BMPR1A",49.773082072554,57.0549553040951,52.171240740858,72.5577950822417,55.8692051295646
"A2M",824.394330045147,846.753693332829,1377.5532373463,724.998568198248,679.165645270878
"SEC24A",79.8275295018564,59.3119752311799,70.6724244182046,74.842548549313,81.4075955517303
"FSCN1",100.137176148059,77.3343430817245,98.7287505311305,77.099945443092,100.937164002828
"ACLY",105.987230735378,130.428553853424,149.712545607549,100.005962173226,131.012554740184
"LRRC1",15.7532827869418,18.002495591392,17.2460195202212,15.911970052892,14.864477418654
"YWHAB",144.812341659712,470.551563353246,176.484413479491,130.205067419042,424.555551672841
"XPNPEP1",51.5514744004973,65.628390872128,72.4446679683409,46.7061007686981,74.257124339673
"ATP6V1H",260.75226151637,688.173459263658,211.623617770759,191.860441577689,583.500655098681
"SUZ12",128.518801886966,186.69784455784,152.312419732404,133.471911078109,164.472857879192
"ACD",71.5629845386951,84.6392273695054,67.0247501288461,69.930694353136,69.6301816227653
"CBX5",379.101065361315,346.494496419905,289.377355912848,339.96938992451,341.529588638487
"CDC37L1",33.4557923333682,46.9678919158959,32.0245844358962,42.0492818175607,58.1595334197498
"APP",57.9703400485779,42.416984658715,45.4641521396662,47.8933387863436,38.7695462639558
"S100A9",57.4845539117068,51.0850065656073,206.978766259521,81.7183032586649,71.4327032563638
"RUNX3",46.8679545991233,38.2384359379664,43.2820160661082,46.4334102611858,41.9424352382522
"NEDD4L",47.8735829001833,63.5001218296862,58.9488664195968,52.0367039428155,56.8456500633196
"ITCH",52.8420417511115,53.3439107861611,55.8717079537563,54.8034478965319,46.3581824428823
"CIRBP",134.729329594978,282.332823584335,181.20255888682,124.213281929211,434.071777797528
"KDM5B",113.440175095871,107.038783115669,102.17790441574,99.5855708476363,128.803532202728
"EEF1A1",4158.69520502773,4453.1452994329,5438.35359311458,5004.80164872129,4927.59645324098
"ALDOA",1995.53255335285,2852.72448687404,1105.36422028761,1148.70748713349,2763.26419100583
"MFAP5",25.7362804205597,20.3437671677081,25.7672361668004,23.4160844048575,21.8160181142671
"NINL",56.2225623472853,49.5069952838476,55.7929754103073,45.479181994069,54.060296576964
"ANGPT2",38.195462417047,34.4235289325631,144.809899959153,20.90919152308,24.9457958564627
"AP2M1",357.495288823144,722.981370020549,262.221777797528,220.071595466771,663.352660777929
"MFN2",73.5959823252014,110.071801353155,68.5425298661122,59.6618944528836,92.2735218444856
"TRA2A",97.6274307206553,26.0748374212542,53.9607771995533,47.2301463921072,25.3913260654796
"MAP1A",22.5261705048612,19.3104633426231,22.9822531385934,25.1429027090151,25.3749331976519
"SNCA",535.271777797528,852.196777797527,302.171354702627,306.038125319828,1246.47624150814
"SUPT6H",145.190174513466,183.551205765995,114.8592250334,146.530125558146,153.210836248071
"BTBD2",328.134277797528,207.912557852412,88.2088935373967,178.981473828296,188.372436215365
"ACTR1B",403.792009933291,337.396777797527,251.433798591786,207.967162470302,326.457482480961
"RRP7A",75.8463718190598,87.5575230226716,74.9634620881035,72.2906106409642,85.956458842647
"CNOT3",48.5336595913222,30.935647118922,32.4904547145103,28.7824176716566,25.3164820248528
"TOB1",94.1980127724451,65.9689532532023,81.1622666429716,95.2171860446849,100.71670889017
"NDFIP1",359.625168997088,535.559277797528,335.432136564791,240.071366891877,579.612519707694
"STMN1",185.745587089698,225.504468599121,103.712674285685,153.464689724911,259.071777797528
"SMAD3",47.6735772837,48.2439396134236,53.5995627970069,46.5181458436045,50.3036875381856
"CD244",62.083007300729,51.7882172322614,54.0769443625329,58.7847567495704,47.6769502741298
"AOX1",23.7541783077347,21.4610591195645,22.5932252608579,25.7287953029885,20.5831143249443
"PPIC",44.2078841800745,35.705712686357,43.4203696991679,53.7901935614175,35.6581926678102
"TCF4",146.853804360474,142.592692953528,112.804167070223,155.937963622371,128.081179214503
