"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"UBE2K",7.6304907888625,7.9044945494612,15.8364395948012,11.2330026220207,5.02723687629869,3.64803139659658,3.21689576924154,25.7349758260319,23.2655471133309,25.0223839025511
"USO1",6.19788257513003,7.23195352273407,7.04646911753058,5.76708952178225,4.02612319058202,3.82771263544798,4.35386420622188,7.06143723143012,6.09952584722762,5.82283139905903
"CSE1L",11.4050906245164,12.4879282522081,9.51007008318726,4.48243346407523,8.1299529943438,4.74218753787292,5.15037721240978,7.06021977542313,15.6031876860982,51.099797947072
"CSNK2A1",4.97495664916859,6.83484983106824,6.17072771168923,13.3046544665858,4.42637288545737,7.61176849166724,2.64530923720541,7.12365088997335,10.2063709590098,26.2570409102641
"UBE2E1",7.99927099526577,11.3700819752407,23.9341932121237,31.451471278535,10.1052598602634,6.93189667433019,40.9367812231323,63.6013172985447,49.9325783432178,100.952022085793
"LAMTOR5",6.52142709173559,23.0001884992334,17.5618519227541,18.6530292213842,7.56673434899458,8.42662511938567,7.16100698279634,20.2412214180779,15.2963902447821,16.0742417880225
"IFNGR1",4.11029206918737,10.1835063569562,4.35265269646377,3.2503620836567,4.10867684227477,6.31121992350704,4.30589951264755,5.57625563916989,3.56779611929329,10.7732833236885
"CHM",5.8120866317247,5.79371970262581,4.93320538569685,5.06527328015609,5.18400766358949,3.86955813829121,3.76342643217002,9.18187511014665,4.07582275241126,4.23711958535475
"DCAF8",8.17611598488787,17.853482749051,7.11903840026641,4.63025260466245,8.48287122386935,3.05289525439515,4.95440222069382,3.82926924278662,7.84974017883166,11.4348455582563
"AGL",5.55057543373752,7.52248153190733,7.59472199327091,18.263400857366,3.54996610306423,3.42086674800514,5.46208693984481,29.0004727976441,23.7497367045035,6.82852387267813
"TMEM14B",16.2488085360972,8.16763875634739,7.94964412569733,8.37110498566921,6.11804934683549,5.7792807120916,5.75925894972781,5.94119020186616,8.42214046361767,9.98791650916686
"AASDHPPT",10.3307584864062,29.6890959044975,18.5870022246623,17.6505463782915,5.6227629446615,5.20359441312423,5.73688343971949,14.6901748000793,23.6485033228394,11.9859434594652
"HNF1A",5.22101791521383,5.48789798460136,5.99390782679673,6.99022921018494,5.29083061133977,15.8459111993219,12.6967260983994,5.98633725138737,4.21038139943861,3.78480037699779
"LMO4",10.525771050817,6.99425199618169,16.9722202948113,7.63301661325938,10.5416471957126,3.80993382974979,6.10741202239598,13.8539728735964,14.8022011605288,10.688884517441
"NDUFA10",9.08586035120613,9.10684137589867,12.1365931555294,14.0077088562032,9.53095494820565,10.4228639356414,9.31930621362465,17.9982357743868,14.1298820270312,14.832335838621
