"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"APP",89.9547601364066,115.267289426431,410.601545478525,292.686991501737,53.5299676316177,118.738102186484
"GOSR1",121.389502473532,64.6321486711775,134.168642601185,121.232537428538,91.8487208040965,69.0046230285551
"MMS19",85.5140682977661,82.2244666113106,90.5307223205504,68.654091044354,56.8802677424354,56.3901443483884
"ESR2",26.2603852884641,37.4273947768284,25.0870761816452,28.8818717091821,33.4404937737847,40.2102616248016
"RAC1",1526.83187131548,559.133666935815,1603.3967157248,1623.59133409969,266.820881533473,774.191683702559
"FGFR1",34.7397141132028,58.6456649082566,26.8995915608341,31.7099383904042,66.2031313001819,70.0494346364201
"PABPC1",323.945757863051,143.372166704808,692.862402651702,558.236404321449,201.763544938825,213.231369035789
"BCL2L1",99.8243572768013,54.4169650842767,88.9509220727329,72.3708031892772,71.3563661148746,70.0494346364201
"CHD4",163.119081746295,237.980620143841,243.233600727648,221.330417214881,173.918641645405,146.072983736941
"NPC2",428.482350996141,139.975474184294,562.319202629198,402.967337829988,129.418513690037,99.3373473385531
"TAGLN",114.648586192071,25.3070086251692,141.600211509405,37.3785552725825,23.4168414064923,26.8651551427094
"PTP4A1",74.7660299856902,67.465392554036,144.166012789146,144.775369426719,109.424014923782,56.0865765915811
"BRD4",195.873645251373,58.9298672288923,170.626116014548,103.578080386933,55.5338217092553,94.7023470379059
"ACAA2",129.761099496487,95.6242271199079,130.350842575363,129.479538978138,72.3603282495353,91.8257161306798
