"SrNo","V1","V2"
10660,"P09038","P23258"
10662,"P23258","Q9BW61"
10663,"P23258","P68104"
10664,"P15924","P23258"
10666,"A0A024R9Y7","P23258"
10667,"P23258","Q05639"
10670,"P07900","P23258"
10671,"P51787","Q96CW1"
10672,"A0A024RD80","P23258"
10673,"P23258","Q53HF2"
10679,"A0A024R8L0","P23258"
10682,"A2RUM7","P23258"
10683,"P23258","P62906"
10684,"B1AQP2","P23258"
10685,"A0A024RBK3","P23258"
10686,"P23258","P62263"
10687,"A0A024RBS2","P23258"
10689,"P23258","P23396"
10691,"P23258","P62841"
10692,"B2ZZ89","P23258"
10694,"P23258","P61247"
10695,"A2A3R6","P23258"
10698,"P23258","Q9BSJ2"
10699,"P04637","P23258"
10714,"B4E3T4","O95947"
10737,"P15336","Q9NQC3"
10797,"P26368","Q13151"
10825,"P05023","Q96T76"
10947,"O43172","P05067"
10949,"O43172","Q9BSJ2"
10951,"O43172","Q99471"
10952,"O43172","Q13107"
10953,"O43172","Q9UK45"
10954,"O43172","Q9Y4E8"
11258,"P36543","Q9Y3Z3"
11313,"P23258","Q76KD6"
11392,"O60260","P23258"
11410,"O95379","Q12974"
11424,"P23258","Q5TGZ0"
11485,"A0A024RB77","P23258"
11627,"O43172","O60925"
11940,"Q99460","Q9NRC8"
12118,"P08133","Q9NRC8"
12224,"P36543","Q9H9B4"
12236,"O14828","P36543"
12270,"P48431","Q9UNS2"
12285,"P48431","Q9P015"
12298,"P48431","Q8WVM8"
12400,"A0A024R1N4","P17542"
12403,"A0A024RAA0","Q7Z434"
12580,"P04271","P08133"
12634,"P55072","Q9UNS2"
12732,"P55072","Q96C92"
12785,"P00338","P40925"
12831,"P34931","Q549C5"
12832,"A2A3R6","Q13151"
12883,"O95379","Q9H8W4"
12934,"A0A024QYU9","Q9P015"
12996,"A8KAH9","O75937"
13205,"O95259","Q96HA8"
13206,"G5E962","Q96HA8"
13207,"A0A024RDV8","Q96HA8"
13208,"B4E3T4","Q96HA8"
13209,"Q96HA8","Q9NVV9"
13210,"Q96HA8","Q9UH03"
13211,"Q68D86","Q96HA8"
13212,"Q8WWZ3","Q96HA8"
13254,"O43439","Q96HA8"
13473,"Q06124","Q9UIB8"
13573,"P51787","P62136"
13702,"P28360","P56178"
14020,"P31948","Q9NUX5"
14027,"P31948","P51617"
14035,"O60232","P31948"
14036,"P31948","P62333"
14038,"P31948","P56696"
14039,"P19320","P31948"
14041,"P15336","P31948"
14049,"P31948","Q00526"
14051,"P31948","Q00535"
14055,"P31948","Q9BT78"
14057,"P31948","Q00987"
14059,"O95816","P31948"
14061,"P31948","Q9H0W5"
14082,"P04406","P31948"
14083,"P31948","Q0VDF9"
14084,"P31948","P34932"
14085,"P04156","P31948"
14095,"P31948","Q70CQ1"
14096,"P31948","Q13451"
14097,"O00170","P31948"
14102,"P31948","Q9Y572"
14106,"P0CG48","P31948"
14122,"Q13216","Q9UNS2"
14135,"O43819","P36543"
14138,"Q99460","Q9NTZ6"
14263,"Q14204","Q9HCD5"
14310,"P17568","P34931"
14508,"P61964","Q7Z434"
14513,"O95831","P98170"
14554,"O95831","Q8WXK4"
14677,"Q02952","Q9Y6G9"
14771,"O43172","Q8NBS9"
14874,"Q7Z2W4","Q9Y6Y0"
14926,"B4DJ51","P19634"
14935,"O95721","P08069"
15157,"Q96HA8","Q9HCD5"
15158,"P25786","Q9UKV5"
15392,"P31040","Q13617"
15394,"P31040","Q93034"
15396,"B2RBV7","P31040"
15397,"A0A090N7U0","P31040"
15418,"P31040","Q96GG9"
15455,"O00232","Q99460"
15544,"P14927","P31040"
15545,"P31040","Q9UPT8"
15552,"E9PAU2","P31040"
15557,"A0A024R2M9","P31040"
15558,"P31040","Q03518"
15559,"C9JQS0","P31040"
15561,"P00387","P31040"
15566,"P31040","Q9NX62"
15568,"P31040","P60842"
15569,"P24752","P31040"
15573,"P24539","P31040"
15575,"A0A024RBX9","P31040"
15576,"P31040","P49821"
15621,"P31040","Q15843"
15746,"Q14197","Q9P015"
15775,"O75489","Q14197"
15788,"P05166","Q14197"
15858,"Q69YH5","Q6NYC1"
15912,"P09936","Q9NYB0"
15913,"P09936","Q53HF2"
15925,"P09936","Q969Q1"
15964,"A0A024RBB6","P09936"
16005,"O60260","P09936"
16023,"P09936","Q9UK80"
16026,"P35354","Q99460"
16041,"P09936","Q8N726"
16249,"Q13151","Q13617"
16262,"P31943","Q13151"
16263,"P38159","Q13151"
16264,"P14866","Q13151"
16265,"Q13151","Q96BA7"
16267,"Q13151","Q15056"
16268,"P23396","Q13151"
16271,"Q13151","Q9HB71"
16272,"P20674","Q13151"
16275,"Q13151","Q86W42"
16277,"Q13151","Q96PK6"
16278,"P19320","Q13151"
16279,"P31942","Q13151"
16287,"P06748","Q13151"
16288,"P02545","Q13151"
16303,"P20648","P51787"
16323,"O95793","Q13151"
16341,"E9PJK2","Q13151"
16491,"P61956","Q13151"
16532,"Q13489","Q7Z434"
16736,"O95379","P56537"
16754,"B3KNV5","P08069"
16755,"B4DXM8","P08069"
16756,"P08069","Q9UKW4"
16757,"P08069","P20936"
16758,"P00533","P08069"
16759,"P04626","P08069"
16760,"A0A024R3Z2","P08069"
16761,"P04637","P08069"
16762,"P08069","Q13322"
16763,"P08069","P0CG48"
16764,"P08069","P32121"
16800,"P21980","P82251"
16883,"P63208","Q9UNS2"
16945,"P23258","P63208"
17073,"O43242","P25786"
17129,"O43242","Q99460"
17186,"O76011","Q96CS7"
17337,"P23258","Q8WUM4"
17400,"B2RBV7","Q9UNS2"
17471,"B3KVH4","P05023"
17474,"B3KVH4","P09936"
17594,"A0A090N7U0","P34820"
17602,"Q06265","Q8TF46"
17709,"P28749","Q9Y5X4"
17882,"P23258","Q9H306"
17906,"A0A024R9W5","P25786"
17909,"A0A024R9W5","Q99460"
17942,"A0A024R9W5","P05023"
17969,"A0A024R9W5","Q9NQC3"
17988,"P25788","Q99460"
18161,"O00159","P15927"
18172,"P25786","Q86TM6"
18192,"O15105","O43541"
18405,"P04406","P43351"
18456,"P05023","P15336"
18511,"P31040","Q9UNN8"
18542,"O43172","P08579"
18551,"Q15048","Q9UNS2"
18573,"Q7Z434","Q96DC9"
18589,"P57775","Q9UNS2"
18628,"Q3SYF1","Q9NQC3"
18665,"Q12872","Q6NYC1"
18682,"A4D1U3","P36543"
18767,"Q13151","Q5VWX1"
18903,"P08133","P52888"
18953,"P05023","Q9H3P2"
