"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"TMBIM4",33.4789876804133,36.4615755940438,30.6696330431681,29.7893966780742,28.6862006978746,16.9559063712128,15.3257630444837,15.9861763026019
"LOC284412",62.6804659781993,82.0375214448161,56.6806736625456,60.5818613564107,90.555665546062,128.302546984921,173.6741227634,144.850715430591
"HNF4A",26.400841323543,24.1223072567921,36.4906766984196,30.3645482400777,32.3547135640746,12.8348630757938,14.1222788144428,18.3879915094668
"SPAG8",10.3694322473685,13.958190290177,11.7757904590725,8.95910117095299,12.6523196081843,23.7174828689529,19.4525987723826,22.5644232748664
"LOC105373660",8.83067672027458,7.27059785200975,4.29588091112068,7.96101289877937,5.74322467073788,18.1200119284294,17.9597330352406,12.0506912551834
"MOB4",18.0517525187692,16.1734550279811,17.862213916433,17.0596246574911,14.975684071435,9.68792032414584,9.41189352686582,10.8573942798515
"TNIP1",26.4349922747646,24.4353014903177,29.396551137632,27.3711851791861,19.8496683805214,13.8829956619231,15.4796398397836,13.0114514404699
"LOC105373657",85.8527237168761,110.158881041329,103.074239029862,103.866456265195,71.9960574148043,55.5741086877256,47.1980385373793,51.679170196487
"LOC105377274",36.6697112321693,19.7536726168247,23.4699196883025,37.0661919435567,21.9472914446231,47.366461675664,64.5157277113411,77.3796876439264
"LOC105377286",23.5565114971842,30.7276386882282,38.4556587163143,32.9446204345798,39.7157680980825,18.9477153685075,16.6384714921262,16.2436056159309
"COG8",58.0704778251604,64.2112420421012,49.9190993520524,61.1559091565101,58.3655430808964,105.135421221504,97.6991428601635,88.7541085328031
"CDR1",772.328607283427,977.446547946965,1031.75162840329,701.092504208724,1185.5000431554,616.306415999783,340.099718098167,255.440062360485
"OXNAD1",23.1072873288284,27.7242590737005,28.124294469598,30.2699208984951,33.0346693619444,49.9599801976289,42.5403795461944,54.5014232574522
"AKR1C2",44.776380267344,34.6809857436428,41.2914163330716,30.457486850248,29.0534181029447,14.3221383156985,16.1852192078028,24.5325619814696
"LOC105373177",42.6439153478082,38.2185993042734,39.5538713276676,25.7442440041274,32.3312862752295,22.8907527372166,11.5588502813308,18.7050121773405
