"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218577_at",-1.39624207013139,7.17814964055438,-6.79885597621584,1.87300927574615e-07,0.00386229794667088,6.95547953545013
"203039_s_at",-1.16096008944924,8.1960095278081,-6.54648218341817,3.68132734186428e-07,0.00386229794667088,6.36025144499539
"201485_s_at",-1.44348414458365,7.90518887230106,-6.4183861313997,5.19988055468861e-07,0.00386229794667088,6.05500925176029
"207790_at",0.298139945071667,5.91560589463153,5.76774499157388,3.06904850235817e-06,0.014857366099635,4.4763365783772
"202245_at",0.718852587436908,9.5148386046543,5.63590166333241,4.41318064977585e-06,0.014857366099635,4.15162347925939
"214352_s_at",-1.41868659593918,9.29807658304813,-5.57095849025732,5.27952440802098e-06,0.014857366099635,3.99120639524867
"211452_x_at",0.761616206420346,11.644510941859,5.55786821775269,5.47388102410932e-06,0.014857366099635,3.9588371733373
"218197_s_at",-2.02545993256577,6.69035262155258,-5.55474153306267,5.52135915927689e-06,0.014857366099635,3.95110393562745
"205593_s_at",0.374503939276416,7.32380304950818,5.4902976314302,6.59765650135151e-06,0.014857366099635,3.79157632319474
"204428_s_at",0.257643318143578,6.48434327096062,5.48648466774076,6.66757891649914e-06,0.014857366099635,3.78212952109556
"217679_x_at",1.01879003257564,9.53913202074154,5.43754176469251,7.63409737844219e-06,0.0154645992621661,3.66079608952656
"201680_x_at",0.449346692959438,8.82528974585675,5.39247535194226,8.64813660044419e-06,0.0159157259198674,3.5489558468561
"215303_at",-1.43162402237125,7.05987842113472,-5.31315214093166,1.07726938653651e-05,0.0159157259198674,3.35185501392461
"201087_at",0.680536716138979,8.25561434681999,5.2988790486167,1.12072253656623e-05,0.0159157259198674,3.31635905186012
"220750_s_at",0.34303730439747,7.1296560233967,5.26812103983674,1.22043269609794e-05,0.0159157259198674,3.23983770307998
"213113_s_at",0.452086059874689,7.89647077772178,5.26532890598002,1.22991319873468e-05,0.0159157259198674,3.23288941441088
"218838_s_at",0.398275798532701,7.43067980300439,5.23542141955581,1.33621219164566e-05,0.0159157259198674,3.15844540246996
"203538_at",-0.597516151081814,9.73947822135126,-5.22125673550712,1.38972398713974e-05,0.0159157259198674,3.12317612429904
"204679_at",-1.3651222189714,9.2809526347655,-5.18663957865557,1.52971530981371e-05,0.0159157259198674,3.03695285529572
"213734_at",-1.67981697886177,8.98043658998024,-5.1861733879991,1.53169395554514e-05,0.0159157259198674,3.03579142107421
"209110_s_at",0.637291104023725,9.2297280423339,5.15509900001016,1.66953039276993e-05,0.0159157259198674,2.95836032458061
"214427_at",0.502963355147261,8.63833468923308,5.12825407334063,1.79856778709048e-05,0.0159157259198674,2.89144665308315
"208137_x_at",0.569601617299088,8.68996190590136,5.12123420673507,1.83392726356061e-05,0.0159157259198674,2.87394591119501
"216614_at",0.224674339629914,5.54056772745678,5.12006735267652,1.8398718565753e-05,0.0159157259198674,2.87103679297107
"207730_x_at",0.732961659278275,10.5489888545458,5.11496310754292,1.86610322094389e-05,0.0159157259198674,2.85831086998091
"216306_x_at",0.755682919274258,8.38890507117712,5.09187276911776,1.98952304387625e-05,0.0159157259198674,2.80073458603333
