"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"201658_at",-0.968820112148544,9.61648398053116,-6.51320736097404,3.89262952783091e-07,0.00867394637686562,6.19993773072139
"34206_at",0.382966115742773,8.31016350668157,5.84728940149648,2.40199998125722e-06,0.0210502085531581,4.61735446226239
"34406_at",1.01911969612716,9.28114066576942,5.64335920540785,4.21970655555267e-06,0.0210502085531581,4.12367560737032
"203206_at",0.357963661055701,8.46855524967863,5.55988822234837,5.31750499437234e-06,0.0210502085531581,3.92064440455392
"219718_at",-0.46336065340532,7.40087902033329,-5.54555813746589,5.53301685168062e-06,0.0210502085531581,3.88573783444772
"220142_at",0.719875419914446,8.29957203402279,5.35598215668495,9.36540054184771e-06,0.0210502085531581,3.42270981731458
"205883_at",1.22855443752517,9.01311478111644,5.31381837477991,1.05299272984791e-05,0.0210502085531581,3.31944934874671
"564_at",0.7117318712511,9.13117427197488,5.24562014218874,1.27288244962752e-05,0.0210502085531581,3.15225070528747
"200601_at",0.724818272750774,8.64659908345669,5.24264835432367,1.2834477163054e-05,0.0210502085531581,3.1449602628078
"205546_s_at",0.48892227078961,8.58010822610552,5.22057405599223,1.36472636334386e-05,0.0210502085531581,3.09079593136764
"214096_s_at",0.471696948750578,9.58303895133845,5.2130484496994,1.39359892461068e-05,0.0210502085531581,3.0723257179708
"204328_at",0.574885661300803,8.20287676332274,5.21155493051467,1.39940129288874e-05,0.0210502085531581,3.068659890242
"38671_at",0.587150388396912,9.06891556055063,5.20906072073909,1.40914538340274e-05,0.0210502085531581,3.06253768739702
"32094_at",0.443730994576352,8.7978595375936,5.19821654925762,1.45230645261362e-05,0.0210502085531581,3.03591722208262
"212359_s_at",0.478802095907252,7.52521723925689,5.18035879813225,1.52628721742862e-05,0.0210502085531581,2.99207029880345
"219114_at",-0.433378641281674,8.57454038332439,-5.13701355416514,1.72193751468205e-05,0.0210502085531581,2.8855974742008
"212778_at",1.06013644659083,8.58594062841006,5.13657265002673,1.72405151778855e-05,0.0210502085531581,2.88451413252715
"210854_x_at",0.439985160689426,8.08609350020587,5.13497324934696,1.73174199099671e-05,0.0210502085531581,2.88058420956166
"221806_s_at",0.903662237452703,8.24261103337315,5.12210415025454,1.79488382403628e-05,0.0210502085531581,2.84896047657924
"41160_at",0.588014932478971,9.47637596517217,5.01516382898035,2.41706473681994e-05,0.0269297267652794,2.58600845821653
"206017_at",-0.585808797934338,6.7659038628185,-4.99527419048289,2.55462198164478e-05,0.027106972198567,2.53707679184549
"37996_s_at",0.478033160478062,6.01307723497047,4.90445080544977,3.28908469245949e-05,0.033313942819125,2.31357601708061
"212015_x_at",0.760585387483786,7.79700902381492,4.87353615273849,3.58443062989813e-05,0.0347268990113131,2.23748805475006
"209507_at",-0.430981480189234,8.10055341429877,-4.84356390107293,3.8960033058317e-05,0.0357594440225558,2.1637191497369
"203538_at",-0.904498564200786,9.66554783207884,-4.83301557313255,4.0119647290037e-05,0.0357594440225558,2.13775771448938
"212516_at",0.419433863708126,8.14497244815388,4.75739614311108,4.95035028894185e-05,0.0388940253483947,1.95166788535228
"213832_at",-1.24999494265788,8.72433542921287,-4.75490398249148,4.98474495886878e-05,0.0388940253483947,1.94553607533095
"211729_x_at",-0.596571780836726,9.45110395182718,-4.74060225919957,5.18677655557462e-05,0.0388940253483947,1.91034936432903
"41644_at",0.601110428020784,11.0216029426603,4.73949591638645,5.20274074559199e-05,0.0388940253483947,1.90762755030594
"204275_at",0.287022878542202,5.86002516623378,4.73635197463648,5.24837439916092e-05,0.0388940253483947,1.89989296624311
"203773_x_at",-0.577698331267341,9.21020296207338,-4.72537047861978,5.41091767625649e-05,0.0388940253483947,1.87287812874244
"214298_x_at",0.347128138810732,6.95745244164368,4.69046902047657,5.96152242889528e-05,0.0405730085113028,1.78703502226535
"218425_at",0.49046017203752,7.01854785120447,4.6876318758291,6.00865808406853e-05,0.0405730085113028,1.78005798342496
"37278_at",0.331748564507329,8.85136620118985,4.66973408926709,6.31467277743011e-05,0.0406925747848728,1.7360486532798
"213089_at",1.56434231415274,8.8930280713483,4.66238696249236,6.4447362343676e-05,0.0406925747848728,1.71798497090121
"204906_at",0.766020034809596,9.70723833200703,4.64427296057129,6.77689389142326e-05,0.0406925747848728,1.67345611177212
"203652_at",0.656158820282623,8.73798090249452,4.64356971465481,6.79012702619954e-05,0.0406925747848728,1.67172754219391
"220221_at",0.383660556493288,5.92429484639299,4.63572732774603,6.93945089002902e-05,0.0406925747848728,1.65245205294079
"220525_s_at",0.634723821938872,7.8955729419452,4.61324573162906,7.38584733541354e-05,0.0416009720207181,1.59720608303551
"209342_s_at",0.211413920760499,5.51518305057541,4.60926793203595,7.46775066565867e-05,0.0416009720207181,1.58743281937723
"213876_x_at",0.47930402337107,9.72385852790265,4.58633285026026,7.95789473654764e-05,0.0432501874181686,1.53109325843965
"212772_s_at",0.906017413998541,8.59169246843313,4.5722462381378,8.27464341888179e-05,0.0436212057193988,1.49649944349658
"212691_at",0.306703827471874,8.05572406690425,4.56605964607595,8.4176809493073e-05,0.0436212057193988,1.4813089003263
"210051_at",0.548789320099314,8.21150798769073,4.53142110671178,9.26508724214022e-05,0.0463987520919116,1.39628700493346
"206058_at",0.503566683221376,7.86699441730607,4.52186802086543,9.51333914257707e-05,0.0463987520919116,1.37284782925863
"204158_s_at",0.509469038389728,7.21665459648969,4.50808342236411,9.8832281725662e-05,0.0463987520919116,1.33903388610365
"211458_s_at",-0.804723380389226,12.274862354169,-4.49808239697715,0.000101604870748181,0.0463987520919116,1.31450691275664
"211271_x_at",0.724019049666526,8.47264268142477,4.49273229916592,0.000103119612263508,0.0463987520919116,1.30138814049763
"214297_at",0.688380372745352,6.76370021226844,4.48704549636017,0.000104754240395774,0.0463987520919116,1.28744534810589
"204150_at",0.552460404027408,7.46135388405873,4.48610393004628,0.000105027354796694,0.0463987520919116,1.2851369952362
"212080_at",0.660780503514394,8.98183157798041,4.48078610221646,0.000106583171863748,0.0463987520919116,1.2721006272743
"218714_at",0.565431497526161,7.80358820588849,4.46870348867732,0.000110203590415614,0.0463987520919116,1.24248633650636
"214780_s_at",0.431563383165603,7.83505035920181,4.45941829958429,0.000113068395421372,0.0463987520919116,1.21973388955732
