V1,V2,Gene1,Gene2
P35998,Q9UKV5,PSMC2,AMFR
P35998,P60896,PSMC2,SEM1
Q14197,Q9P015,MRPL58,MRPL15
O75489,Q14197,NDUFS3,MRPL58
Q69YH5,Q6NYC1,CDCA2,JMJD6
O95379,P56537,TNFAIP8,EIF6
B3KNV5,P08069,SH2B1,IGF1R
B4DXM8,P08069,PIK3R3; LOC110117498-PIK3R3,IGF1R
P08069,Q9UKW4,IGF1R,VAV3
P08069,P20936,IGF1R,RASA1
P00533,P08069,EGFR,IGF1R
P04626,P08069,ERBB2,IGF1R
A0A024R3Z2,P08069,SUMO1,IGF1R
P04637,P08069,TP53,IGF1R
P08069,Q13322,IGF1R,GRB10
P08069,P0CG48,IGF1R,UBC
P08069,P32121,IGF1R,ARRB2
P63208,Q9UNS2,SKP1,COPS3
P23258,P63208,TUBG1,SKP1
O43242,P35998,PSMD3,PSMC2
P23258,Q8WUM4,TUBG1,PDCD6IP
B2RBV7,Q9UNS2,-,COPS3
P23258,Q9H306,TUBG1,MMP27
A0A024R9W5,P35998,HUWE1,PSMC2
P04406,P43351,GAPDH,RAD52
Q15048,Q9UNS2,LRRC14,COPS3
P57775,Q9UNS2,FBXW4,COPS3
Q12872,Q6NYC1,SFSWAP,JMJD6
A0A024R763,Q9UNS2,IRF5,COPS3
P23258,P35268,TUBG1,RPL22
Q9BW61,Q9UNS2,DDA1,COPS3
Q5SSJ5,Q9NRC8,HP1BP3,SIRT7
B2R4W8,P23258,RPS15A,TUBG1
Q15645,Q96HA8,TRIP13,WDYHV1
P04424,Q96HA8,ASL,WDYHV1
O75553,Q96HA8,DAB1,WDYHV1
A0A024R7E9,Q96HA8,DHPS,WDYHV1
A0A024R525,Q96HA8,FTH1,WDYHV1
A0A087X1W2,Q96HA8,PRMT1,WDYHV1
P11908,Q96HA8,PRPS2,WDYHV1
P11217,Q96HA8,PYGM,WDYHV1
Q5JR59,Q96HA8,MTUS2,WDYHV1
Q96HA8,Q9Y2J4,WDYHV1,AMOTL2
Q96HA8,Q9BXD5,WDYHV1,NPL
P23258,Q9H3S7,TUBG1,PTPN23
P42224,Q6NYC1,STAT1,JMJD6
P07437,P35998,TUBB,PSMC2
P07437,P23258,TUBB,TUBG1
Q6NYC1,Q9Y4E5,JMJD6,ZNF451
Q16695,Q92618,HIST3H3,ZNF516
P13473,Q5SSJ5,LAMP2,HP1BP3
P13473,P23258,LAMP2,TUBG1
O60341,Q92618,KDM1A,ZNF516
A0A024RCJ2,Q6NYC1,HIST1H2BJ,JMJD6
P19474,Q9C035,TRIM21,TRIM5
Q15573,Q6NYC1,TAF1A,JMJD6
P23258,Q12834,TUBG1,CDC20
P23258,P34932,TUBG1,HSPA4
P34932,P43351,HSPA4,RAD52
A0A024RB45,O95379,PRR13,TNFAIP8
P34932,Q6NYC1,HSPA4,JMJD6
P05129,Q9C035,PRKCG,TRIM5
P34932,P35998,HSPA4,PSMC2
Q9NX20,Q9P015,MRPL16,MRPL15
P35998,P50990,PSMC2,CCT8
P35998,P62333,PSMC2,PSMC6
P23258,P50990,TUBG1,CCT8
E9PAU2,P23258,RAVER1,TUBG1
Q8TEB1,Q9UNS2,DCAF11,COPS3
O14543,P61073,SOCS3,CXCR4
Q6NYC1,Q6ZN18,JMJD6,AEBP2
P15531,P52888,NME1,THOP1
P25788,P35998,PSMA3,PSMC2
Q5SSJ5,Q86VP6,HP1BP3,CAND1
P05067,Q9BTT6,APP,LRRC1
B7Z647,Q9BTT6,DLG4,LRRC1
Q8IY92,Q9BTT6,SLX4,LRRC1
Q6NYC1,Q8N0S6,JMJD6,CENPL
O76021,Q5SSJ5,RSL1D1,HP1BP3
P11047,P23258,LAMC1,TUBG1
Q13098,Q9UNS2,GPS1,COPS3
A0A024R3E3,Q14151,APOA1,SAFB2
Q14151,Q14161,SAFB2,GIT2
P55854,Q14151,SUMO3,SAFB2
E9PJK2,Q14151,EED,SAFB2
P35226,Q14151,BMI1,SAFB2
O00429,Q6NYC1,DNM1L,JMJD6
Q14151,Q9H492,SAFB2,MAP1LC3A
O75376,Q14151,NCOR1,SAFB2
